DEPTH	RHOZ	AT60	DPHZ	CALI	RXOZ	ATD2	IHV	RSOZ	CNTC	AT20	ATCO90	GR	FCD	SMNO	HDRA	RVSRU	RXV	NPOR	AT10	AT30	AT90	ATD1	SP	RWA	BS	ICV	SMIN	RSP	DSOZ	PEFZ	RVDRU	RVV	RXRU	CFTC	NPHI	TNPH	
[m MD]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Ohm.m]	[Ohm.m]	[Unknown]	[mV]	[Ohm.m]	[in]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	
388,01	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,16	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,32	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	-999.25	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,47	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	27,44524	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,62	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	32,80543	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,77	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	34,92225	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
388,92	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	35,43657	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,08	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	35,66312	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,23	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	38,90611	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,38	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	40,48252	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
