IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]
PR-1222	R8C	2556231	4919963	2679.86	2686.62
PR-1222	S1	2556231	4919963	2713.32	2727.85
PR-1222	S2	2556231	4919963	2756.57	2763.67
PR-1222	S4	2556231	4919963	2776.17	2789.69
PR-1222	Top-MEC-C	2556231	4919963	2810.62	2820.00
PR-1224	K3	2555590	4919622	1911.40	1918.26
PR-1224	K4	2555590	4919622	1920.34	1935.33
PR-1224	K5	2555590	4919622	1944.30	1955.04
PR-1224	K6	2555590	4919622	1964.13	1974.05
PR-1224	K7	2555590	4919622	1979.52	1985.62
PR-1224	K8	2555590	4919622	1999.67	2010.41
PR-1224	K9	2555590	4919622	2021.98	2030.25
PR-1224	L1	2555590	4919622	2046.77	2054.21
PR-1224	L1A	2555590	4919622	2055.86	2063.95
PR-1224	L1B	2555590	4919622	2065.63	2072.95
PR-1224	L1E	2555590	4919622	2080.57	2087.61
PR-1224	L2	2555590	4919622	2113.71	2121.15
PR-1224	L3AC	2555590	4919622	2126.29	2130.00
PR-1224	L3B	2555590	4919622	2131.06	2141.07
PR-1224	L4	2555590	4919622	2145.94	2157.51
PR-1224	L4F	2555590	4919622	2170.79	2174.60
PR-1224	L5D	2555590	4919622	2214.53	2218.79
PR-1224	L5E	2555590	4919622	2219.49	2225.19
PR-1224	L5F	2555590	4919622	2226.92	2231.06
PR-1224	M4	2555590	4919622	2255.85	2269.07
PR-1224	M4A	2555590	4919622	2270.72	2280.64
PR-1224	M5	2555590	4919622	2297.99	2304.61
PR-1224	M6	2555590	4919622	2311.22	2318.65
PR-1224	M7AB	2555590	4919622	2332.63	2340.71
PR-1224	M8	2555590	4919622	2341.79	2349.23
PR-1224	O1B	2555590	4919622	2367.53	2375.76
PR-1224	O3B	2555590	4919622	2388.90	2396.95
PR-1224	O4	2555590	4919622	2399.64	2409.14
PR-1224	P1B	2555590	4919622	2438.48	2444.34
PR-1224	P2	2555590	4919622	2445.09	2455.01
PR-1224	P3	2555590	4919622	2455.83	2469.88
PR-1224	P4	2555590	4919622	2472.36	2480.92
PR-1224	P6	2555590	4919622	2482.28	2487.78
PR-1224	R2	2555590	4919622	2541.78	2543.78
PR-1224	R4	2555590	4919622	2586.40	2597.97
PR-1224	R5	2555590	4919622	2601.28	2611.19
PR-1224	R8	2555590	4919622	2650.03	2658.30
PR-1224	R8A	2555590	4919622	2664.91	2674.00
PR-1224	R8C	2555590	4919622	2682.39	2693.01
PR-1224	S1	2555590	4919622	2719.45	2735.15
PR-1224	S4	2555590	4919622	2781.43	2788.92
